"","X","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"1248",1656,"10_1080_0886022x_2025_2509786",1,10,412,"development","prognostic",0.9213,NA,NA,78.03,NA,NA,100,NA,NA,"yes",NA,"Figure 3a","no"
"7621",9719,"10_1016_j_ijmedinf_2025_106018",3,8,2883,"development","prognostic",0.75,0.54,0.96,29,0,67,84,81,87,"yes","could not determine","Figure 4C","no"
"6516",8133,"10_1016_j_ajo_2025_08_035",1,13,84,"development","diagnostic",0.82,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 5C","no"
"1500",1992,"10_1093_brain_awaf418",4,7,NA,"development","diagnostic",0.827,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2H","no"
"2255",3018,"10_1177_10731911251389197",1,8,108,"development","diagnostic",0.9,0.85,0.96,89,NA,NA,83,NA,NA,"yes","could not determine","Figure 2 panel 2 (MCI vs Control)","no"
"6249",7836,"10_1007_s13167-025-00412-9",4,18,5969,"external validation","diagnostic",0.727,0.709,0.746,77.4,NA,NA,57.5,NA,NA,"yes","could not determine","Figure 3a","no"
"6427",8028,"10_1016_j_acra_2025_07_060",3,9,130,"internal validation","diagnostic",1,1,1,100,NA,NA,100,NA,NA,"yes","could not determine","could not determine","no"
"761",1055,"10_1016_j_scitotenv_2025_180003",1,13,391,"internal validation","diagnostic",0.847,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4D","no"
"2835",3675,"10_1186_s40644-025-00917-6",5,1,135,"development","diagnostic",0.84,0.77,0.91,79,NA,NA,83,NA,NA,"yes",NA,"Figure 2B","no"
"7217",9204,"10_1016_j_ejrad_2025_112048",3,5,44,"internal validation","diagnostic",0.882,0.769,0.996,76.5,NA,NA,88.9,NA,NA,"yes","blue","Figure 5B","no"
"5545",6989,"10_3389_fcell_2025_1677290",1,6,693,"external validation","prognostic",0.792,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3G","no"
"3751",4830,"10_3389_fendo_2025_1656942",2,2,1049,"development","diagnostic",0.79,NA,NA,76,NA,NA,75,NA,NA,"yes","red","Figure 3","no"
"3022",3941,"10_1002_ccd_31526",3,4,4707,"development","prognostic",0.699,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure S1","no"
"7530",9618,"10_1016_j_ijcard_2025_133044",3,2,80,"development","prognostic",0.756,0.64,0.85,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1 right panel","no"
"5171",6474,"10_3390_jcm14020612",4,3,286,"development","prognostic",0.814,0.79,0.838,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2 Panel B","no"
"4636",5804,"10_3389_fnut_2025_1640061",3,1,395,"development","prognostic",0.754,0.7085,0.8064,78.2,NA,NA,68.5,NA,NA,"yes",NA,"Figure 3","no"
"1268",1677,"10_1080_0886022x_2025_2474206",4,4,264,"external validation","prognostic",0.77,0.695,0.845,81.1,NA,NA,61.7,NA,NA,"yes","red","Figure 6","no"
"3999",5106,"10_3389_fmed_2025_1545387",1,4,240,"internal validation","diagnostic",0.75,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Supplementary Figure 1","no"
"7270",9257,"10_1016_j_ejrad_2025_112076",5,9,104,"external validation","diagnostic",0.873,0.794,0.952,88.9,NA,NA,80.5,NA,NA,"yes","could not determine","Figure 2C","no"
"6346",7947,"10_1016_j_acra_2025_03_014",1,3,106,"development","diagnostic",0.673,0.586,0.759,81.6,NA,NA,52.9,NA,NA,"yes","orange","Figure 4a","no"
"656",902,"10_1016_j_psychres_2025_116780",3,1,56,"development","diagnostic",0.604,0.323,0.884,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"6704",8392,"10_1016_j_bja_2025_07_085",2,8,37081,"development","prognostic",0.835,0.827,0.843,85.5,84.1,86.8,64.5,64,65,"yes","purple","Figure 2d","no"
"6871",8633,"10_1016_j_clnu_2025_02_023",3,2,195,"development","diagnostic",0.851,0.8,0.903,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4A","no"
"4848",6075,"10_3389_fpsyt_2025_1608905",3,1,107,"development","diagnostic",0.858,0.788,0.929,81.4,NA,NA,79.69,NA,NA,"yes","could not determine","Figure 4","no"
"155",201,"10_1016_j_jad_2025_119784",1,1,26569,"development","prognostic",0.69,0.65,0.73,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 3a","no"
"5600",7044,"10_1002_ccd_70056",2,6,NA,"external validation","diagnostic",0.68,0.64,0.72,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5F","no"
"4517",5682,"10_3389_fnagi_2025_1597511",4,19,253,"external validation","diagnostic",1,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 11A","no"
"4603",5770,"10_3389_fnut_2025_1574063",4,15,7092,"development","diagnostic",0.971,NA,NA,95,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1c","no"
"5797",7331,"10_1007_s10120-025-01628-4",2,2,17,"internal validation","prognostic",0.802,0.532,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3E","no"
"3018",3937,"10_1002_ccd_31498",2,6,53,"development","diagnostic",0.544,0.387,0.701,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3","no"
"3917",5024,"10_3389_fmed_2025_1516207",4,6,267,"development","diagnostic",0.764,0.689,0.839,76.9,NA,NA,65.8,NA,NA,"yes","could not determine","Figure 3","no"
"2601",3428,"10_1007_s00261-025-04830-1",1,4,105,"development","diagnostic",0.906,NA,NA,81.1,NA,NA,95.6,NA,NA,"yes","could not determine","Figure 2","no"
"2600",3427,"10_1007_s00261-025-04830-1",1,3,105,"development","diagnostic",0.806,NA,NA,84.6,NA,NA,86.1,NA,NA,"yes","could not determine","Figure 2","no"
"1502",1994,"10_1093_ckj_sfaf002",5,2,2624,"internal validation","prognostic",0.864,NA,NA,68,NA,NA,91.2,NA,NA,"yes","blue","Figure 2A","no"
"4760",5933,"10_3389_fphar_2024_1449603",4,9,332,"external validation","prognostic",0.867,0.826,0.902,NA,NA,NA,NA,NA,NA,"yes","red","Figure 3B","no"
"4458",5610,"10_3389_fnagi_2025_1582687",3,7,500,"development","prognostic",0.71,NA,NA,58.3,NA,NA,83.8,NA,NA,"yes","could not determine","Figure 4A","no"
"7535",9623,"10_1016_j_identj_2025_104011",5,1,264,"development","diagnostic",0.97,0.949,0.991,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"1348",1766,"10_1080_07853890_2025_2551819",1,2,82,"internal validation","prognostic",0.801,0.691,0.911,74,NA,NA,78,NA,NA,"yes","could not determine","Table 2","no"
"6689",8366,"10_1016_j_biomaterials_2025_123286",3,3,NA,"development","diagnostic",0.8286,0.7512,0.906,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 6E","no"
"6732",8426,"10_1016_j_canlet_2025_217456",2,14,57,"internal validation","diagnostic",0.998,0.992,1,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure S4D","no"
"6455",8056,"10_1016_j_acra_2025_04_072",4,22,80,"external validation","diagnostic",0.99,0.988,1,97,NA,NA,97,NA,NA,"yes","could not determine","Figure 5k","no"
"5925",7462,"10_1007_s10151-025-03139-x",5,10,31,"internal validation","diagnostic",0.811,0.665,0.957,88.9,NA,NA,63.6,NA,NA,"yes","could not determine","Figure 3","no"
"2476",3302,"10_1186_s13075-025-03478-y",3,9,51,"development","diagnostic",0.67,0.491,0.842,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"3038",3962,"10_1007_s00330-025-11377-8",2,11,90,"internal validation","diagnostic",0.873,0.8,0.945,86.7,76.7,96.6,73.3,60.4,86.3,"yes","could not determine","Figure 4B","no"
"2181",2894,"10_1136_gpsych-2024-101957",5,9,1231,"external validation","prognostic",0.517,0.511,0.521,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2B","no"
"1557",2062,"10_1097_aud_0000000000001670",4,3,928,"development","diagnostic",0.64,NA,NA,45,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"1188",1573,"10_1038_s41698-025-01056-8",1,7,162,"development","prognostic",0.66,0.513,0.807,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7B","no"
"3718",4797,"10_3389_fendo_2025_1617229",1,1,1584,"development","prognostic",0.631,0.595,0.657,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"307",499,"10_1016_j_jmsacl_2025_11_003",2,14,813,"external validation","diagnostic",0.69,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Fig 2C","no"
"467",672,"10_1016_j_jtherbio_2025_104280",3,3,197,"development","diagnostic",0.888,NA,NA,78.8,NA,NA,NA,NA,NA,"yes","could not determine","Figure 12","no"
"7014",8894,"10_1016_j_compbiomed_2025_110244",5,7,39,"development","diagnostic",0.909,NA,NA,84.4,NA,NA,77,NA,NA,"yes","could not determine","Figure 1 right","no"
"4079",5186,"10_3389_fmed_2025_1581904",2,2,2208,"development","diagnostic",0.625,0.6,0.649,49.5,47,52,70.2,66.8,73.7,"yes","could not determine","Figure 1B","no"
"3217",4150,"10_2196_63352",1,8,270,"internal validation","diagnostic",0.89,NA,NA,84,NA,NA,72,NA,NA,"yes","blue solid","Figure 2","no"
"1945",2611,"10_1111_dom_16470",4,2,NA,"development","prognostic",0.61,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B2","no"
"93",139,"10_1016_j_intimp_2025_114935",5,15,17,"development","diagnostic",0.8429,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4D","no"
"3458",4439,"10_3389_fcvm_2025_1648352",1,11,125,"internal validation","prognostic",0.7882,NA,NA,76.62,NA,NA,66.67,NA,NA,"yes","orange","Figure 5A","no"
"3043",3967,"10_1007_s00330-025-11385-8",3,4,118,"development","prognostic",0.84,0.792,0.888,80,72.9,87.1,99.1,97.3,100,"yes","could not determine","Figure 2","no"
"2587",3414,"10_1186_s13244-025-02063-w",5,11,85,"internal validation","diagnostic",0.58,0.52,0.64,50,NA,NA,96,NA,NA,"yes","could not determine","Figure 3A","no"
"4826",6047,"10_3389_fphar_2025_1649139",5,1,1397,"development","diagnostic",0.638,0.605,0.671,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5A","no"
"6667",8344,"10_1016_j_aucc_2025_101230",1,3,304,"internal validation","prognostic",0.79,0.76,0.82,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3A","no"
"7045",8942,"10_1016_j_compbiomed_2025_111238",4,3,281,"development","diagnostic",0.89594,NA,NA,82.802,NA,NA,78.947,NA,NA,"yes","orange","Figure 3","no"
"2500",3327,"10_1186_s13244-024-01874-7",1,10,133,"external validation","diagnostic",0.882,0.801,0.962,74.1,NA,NA,91.1,NA,NA,"yes","dotted","Figure 4B","no"
"7334",9362,"10_1016_j_ejrad_2025_112560",2,23,161,"development","prognostic",0.864,0.809,0.918,74.4,NA,NA,85.9,NA,NA,"yes","brown","Figure 5d","no"
"1546",2051,"10_1097_brs_0000000000005595",3,10,252,"internal validation","prognostic",0.778,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2D","no"
"3703",4782,"10_3389_fendo_2025_1576955",4,5,111,"development","diagnostic",0.84,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"3896",5003,"10_3389_fmed_2025_1528154",2,2,220,"external validation","diagnostic",0.683,0.614,0.772,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"6341",7942,"10_1007_s43657-024-00179-5",5,4,368,"development","prognostic",0.806,NA,NA,64.2,NA,NA,83.5,NA,NA,"yes","blue","Figure 3B","no"
"1946",2612,"10_1111_dom_16470",4,3,NA,"development","prognostic",0.6,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B2","no"
"2790",3626,"10_1186_s40644-025-00856-2",4,42,93,"internal validation","diagnostic",0.64,0.534,0.737,52.2,33,71.4,77.1,67.3,87,"yes","could not determine","Figure S5","no"
"3655",4734,"10_3389_fendo_2025_1593068",1,14,3000,"development","diagnostic",0.8945,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"1943",2609,"10_1111_ejh_70058",3,1,52,"development","prognostic",0.75,0.61,0.89,78,NA,NA,69,NA,NA,"yes","could not determine","Figure 1","no"
"5843",7377,"10_1007_s10143-025-03719-3",2,3,468,"development","prognostic",0.722,0.676,0.768,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 2B","no"
"3781",4864,"10_3389_fendo_2025_1687145",2,5,81,"development","diagnostic",0.966,0.932,1.001,96,NA,NA,76.8,NA,NA,"yes","could not determine","Figure 2C","no"
"6126",7708,"10_1007_s12035-025-04857-x",1,4,261,"development","diagnostic",0.86,0.815,0.901,NA,NA,NA,NA,NA,NA,"yes","red","Figure 8B","no"
"202",248,"10_1016_j_jbiomech_2025_113073",2,3,211,"development","diagnostic",0.667,0.599,0.73,43.7,NA,NA,84.8,NA,NA,"yes",NA,"Figure 4A","no"
"6373",7974,"10_1016_j_acra_2025_04_062",3,8,NA,"internal validation","prognostic",0.714,0.626,0.802,NA,NA,NA,NA,NA,NA,"yes","green","Figure 3b","no"
"653",892,"10_1016_j_pan_2025_07_417",5,4,129,"internal validation","prognostic",0.698,0.584,0.785,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3c","no"
"4627",5795,"10_3389_fnut_2025_1627624",1,9,56,"development","diagnostic",0.8034,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 2i","no"
"734",1016,"10_1016_j_resuscitation_2025_110837",1,19,122,"development","prognostic",0.75,0.66,0.82,NA,NA,NA,NA,NA,NA,"yes","grey solid","Figure 4J","no"
"6939",8741,"10_1016_j_cmpb_2025_108797",5,6,NA,"internal validation","diagnostic",0.821,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"1335",1753,"10_1080_07853890_2025_2520401",4,4,27,"external validation","diagnostic",0.77,0.56,0.94,80,NA,NA,76,NA,NA,"yes","could not determine","Figure 4","no"
"5405",6837,"10_21037_tlcr-24-726",3,1,582,"development","diagnostic",0.904,0.879,0.927,85.8,NA,NA,76.1,NA,NA,"yes","could not determine","Figure 4A","no"
"6898",8672,"10_1016_j_cmpb_2025_108589",1,4,1242,"development","prognostic",0.885,NA,NA,85.33,NA,NA,80.31,NA,NA,"yes",NA,"Figure 2A","no"
"344",536,"10_1016_j_jmsacl_2025_11_003",2,51,793,"external validation","diagnostic",0.57,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Fig 2Q","no"
"5835",7369,"10_1007_s10096-025-05354-8",5,7,968,"internal validation","diagnostic",0.724,0.629,0.82,68.1,64.3,72,65.2,52.2,78.2,"yes","could not determine","Figure 5","no"
"5430",6864,"10_21037_tlcr-2025-237",2,10,267,"external validation","diagnostic",0.732,0.671,0.792,57.6,NA,NA,81,NA,NA,"yes","could not determine","Figure 4B","no"
"5307",6703,"10_3390_ph18070975",2,4,4289,"development","diagnostic",0.9179,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2","no"
"1896",2516,"10_1109_tbme_2025_3597527",4,9,1356,"development","diagnostic",0.788,0.728,0.852,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2e","no"
"6055",7627,"10_1007_s11547-025-01969-1",4,7,95,"development","diagnostic",0.55,0.44,0.67,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 4b","no"
"5102",6378,"10_3390_cancers17152515",3,40,1827,"development","prognostic",0.791,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6d","no"
"3819",4905,"10_3389_fendo_2025_1698247",2,7,3465,"development","diagnostic",0.957,0.951,0.962,90,88.8,91.1,90.7,89.5,91.8,"yes","could not determine","Figure 6C","no"
"6230",7817,"10_1007_s15010-024-02459-8",3,1,147,"development","diagnostic",0.978,0.953,1,NA,NA,NA,NA,NA,NA,"yes","yellow","Figure 5","no"
"5768",7302,"10_1007_s10120-025-01614-w",1,3,94,"external validation","prognostic",0.791,0.776,0.802,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2c","no"
"2045",2712,"10_1111_jcpe_14194",4,25,273,"development","prognostic",0.74,0.49,0.99,75,NA,NA,77,NA,NA,"yes","could not determine","Figure 2","no"
"3987",5094,"10_3389_fmed_2025_1532210",4,1,62,"development","prognostic",0.778,0.65,0.906,62.5,NA,NA,87,NA,NA,"yes","could not determine","Figure 3","no"
"426",629,"10_1016_j_jpainsymman_2025_09_025",5,1,2974,"external validation","diagnostic",0.961,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1A","no"
"6383",7984,"10_1016_j_acra_2025_02_019",4,3,104,"development","diagnostic",0.937,0.896,0.979,97.1,NA,NA,76.8,NA,NA,"yes","dotted blue","Figure 6a","no"
"933",1274,"10_1016_j_tox_2025_154237",2,10,140,"development","diagnostic",0.852,NA,NA,76.8,NA,NA,77.2,NA,NA,"yes","could not determine","Figure 2A","no"
"6719",8413,"10_1016_j_canlet_2025_217456",2,1,130,"development","diagnostic",0.985,0.969,1,93,NA,NA,97,NA,NA,"yes",NA,"Figure 6B1","no"
"3469",4450,"10_3389_fcvm_2025_1652467",3,8,30,"external validation","diagnostic",0.74,0.515,0.925,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 14","no"
"4497",5649,"10_3389_fnagi_2025_1504733",5,6,120,"external validation","diagnostic",0.852,0.748,0.91,63.6,NA,NA,73.7,NA,NA,"yes","could not determine","Figure 4D","no"
"6068",7640,"10_1007_s11547-025-01969-1",4,20,95,"development","diagnostic",0.73,0.63,0.83,NA,NA,NA,NA,NA,NA,"yes","red","Figure 6b","no"
"3571",4643,"10_1007_s00330-025-11593-2",4,5,367,"development","diagnostic",0.734,0.629,0.829,66.67,44,85.19,71.57,66.67,76.62,"yes","blue","Figure 3B","no"
"5411",6843,"10_21037_tlcr-24-726",3,7,210,"external validation","diagnostic",0.765,0.699,0.829,79,NA,NA,64,NA,NA,"yes","could not determine","Figure 4B","no"
"6176",7759,"10_1007_s12072-025-10936-x",4,5,865,"internal validation","prognostic",0.871,0.835,0.908,77.2,NA,NA,83.9,NA,NA,"yes","could not determine","Figure 3c","no"
"1209",1603,"10_1007_s00198-025-07503-3",2,7,2592,"development","prognostic",0.63,0.62,0.65,32,NA,NA,82,NA,NA,"yes","gray dashed","Figure 2C","no"
"3340",4299,"10_3389_fbioe_2025_1613417",2,2,141,"internal validation","diagnostic",0.8,NA,NA,58,NA,NA,85.5,NA,NA,"yes","could not determine","Figure 5","no"
"1762",2276,"10_1097_js9_0000000000003035",1,2,146,"internal validation","diagnostic",0.803,0.718,0.889,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2A","no"
"5017",6281,"10_3390_biomedicines13102507",4,2,355,"development","prognostic",0.4782,NA,NA,68.22,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"3315",4274,"10_1007_s00330-025-11528-x",3,5,55,"external validation","diagnostic",0.857,0.755,0.96,80,NA,NA,86.7,NA,NA,"yes","blue","Figure 4c","no"
"1492",1978,"10_1093_eurheartj_ehaf949",2,2,116,"internal validation","diagnostic",0.82,0.73,0.9,62.2,45.4,77.1,88.6,81,95,"yes","blue","Figure 4B","no"
"3928",5035,"10_1007_s00330-025-11981-8",2,3,62,"external validation","diagnostic",0.89,0.8,0.99,84,73,94,85,65,100,"yes","red","Figure 3a","no"
"4643",5812,"10_3389_fnut_2025_1627421",5,5,10457,"development","diagnostic",0.677,0.666,0.688,59.1,NA,NA,66.7,NA,NA,"yes","could not determine","Figure 4","no"
"3004",3923,"10_1002_btm2_70029",1,2,38,"development","diagnostic",0.72,0.54,0.88,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure S3b","no"
"4730",5902,"10_3389_fnut_2025_1673973",5,7,303,"development","diagnostic",0.807,0.74,0.87,82,NA,NA,69,NA,NA,"yes","could not determine","Figure 2","no"
"4477",5629,"10_3389_fmolb_2025_1684809",4,8,38,"internal validation","prognostic",0.73,0.55,0.9,75,NA,NA,77,NA,NA,"yes","could not determine","Figure 3C","no"
"1763",2277,"10_1097_js9_0000000000003035",1,3,146,"internal validation","diagnostic",0.769,0.681,0.856,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 2A","no"
"737",1019,"10_1016_j_rmed_2025_107943",2,2,186,"development","prognostic",0.77,0.71,0.83,70,35,93,73,53,88,"yes","could not determine","Figure 1 left panel","no"
"3707",4786,"10_3389_fendo_2025_1576955",4,9,111,"development","diagnostic",0.8,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"2061",2728,"10_1111_jcpe_14194",4,41,273,"development","prognostic",0.78,0.69,0.87,99,NA,NA,15,NA,NA,"yes","could not determine","Figure 2","no"
"6841",8596,"10_1016_j_clgc_2025_102400",1,2,541,"development","prognostic",0.752,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Supplemental Figure 5B","no"
"7554",9648,"10_1016_j_ijcard_2025_133493",3,1,1948,"development","prognostic",0.713,0.674,0.752,NA,NA,NA,NA,NA,NA,"yes","could not determine","Supplementary Figure 3","no"
"2075",2775,"10_1111_joor_13933",5,1,54,"development","diagnostic",0.882,0.788,0.977,75,NA,NA,74,NA,NA,"yes","could not determine","Figure 3","no"
"1850",2470,"10_1109_tmi_2024_3510836",1,2,270,"external validation","diagnostic",0.8437,0.8006,0.8769,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3b","no"
"367",559,"10_1016_j_joca_2025_08_001",3,4,8205,"development","prognostic",0.87,NA,NA,64,NA,NA,90,NA,NA,"yes","could not determine","could not determine","no"
"456",661,"10_1016_j_jstrokecerebrovasdis_2025_108433",1,2,238,"development","diagnostic",0.853,NA,NA,86.4,NA,NA,67.3,NA,NA,"yes","blue","Figure 3","no"
"1300",1718,"10_1080_07853890_2025_2484460",4,2,155,"development","prognostic",0.807,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3C","no"
"838",1140,"10_1016_j_spinee_2025_01_033",4,3,315,"development","prognostic",0.887,0.83,0.938,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"3925",5032,"10_1007_s00330-025-11921-6",1,3,151,"development","diagnostic",0.902,0.7957,0.9813,80.4,NA,NA,88.6,NA,NA,"yes","could not determine","Figure 6a","no"
"3768",4847,"10_3389_fendo_2025_1651370",5,3,3305,"development","diagnostic",0.684,0.668,0.7,67,NA,NA,61.3,NA,NA,"yes","could not determine","Figure 5A","no"
"5648",7092,"10_1007_s00467-025-07055-y",2,6,102,"development","prognostic",0.56,0.44,0.68,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"4946",6206,"10_3390_biomedicines13040780",2,2,169,"development","diagnostic",0.738,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 6A","no"
"7348",9376,"10_1016_j_ejrad_2025_112562",3,13,320,"development","diagnostic",0.918,0.889,0.948,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4C","no"
"279",429,"10_1016_j_jhazmat_2025_138411",2,3,360,"development","diagnostic",0.9034,NA,NA,63.33,NA,NA,92.62,NA,NA,"yes","could not determine","Figure 4b","no"
"2746",3582,"10_1186_s40644-025-00881-1",3,1,48,"development","diagnostic",0.87,NA,NA,76,NA,NA,76,NA,NA,"yes","green","Figure 3B","no"
"6131",7713,"10_1007_s12035-025-04857-x",1,9,230,"external validation","diagnostic",0.824,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 8C","no"
"4010",5117,"10_3389_fmed_2025_1543665",5,2,200,"development","prognostic",0.928,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7B","no"
"7036",8921,"10_1016_j_compbiomed_2025_110859",4,3,154,"internal validation","diagnostic",0.55,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"827",1121,"10_1016_j_spinee_2025_05_025",1,9,103,"external validation","prognostic",0.723,0.622,0.824,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"2409",3225,"10_1186_s12935-025-03699-w",2,5,30,"development","diagnostic",0.889,0.764,1,NA,NA,NA,NA,NA,NA,"yes","green","Figure 3B","no"
"231",287,"10_1016_j_jcv_2025_105879",3,1,635,"development","diagnostic",0.86,0.84,0.88,100,91.4,100,71.7,67.9,75.3,"yes",NA,"Figure 2","no"
"3572",4644,"10_1007_s00330-025-11593-2",4,6,158,"internal validation","diagnostic",0.719,0.52,0.914,66.67,33.33,100,78.03,70.45,84.45,"yes","orange","Figure 3B","no"
"313",505,"10_1016_j_jmsacl_2025_11_003",2,20,804,"external validation","diagnostic",0.91,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Fig 2D","no"
"6950",8804,"10_1016_j_cmpb_2025_109204",3,13,157,"external validation","diagnostic",0.6,0.51,0.69,98,93,100,4,1,7,"yes","could not determine","Figure 3","no"
"7637",9735,"10_1016_j_ijmedinf_2025_106018",3,24,814,"internal validation","prognostic",0.83,0.74,0.9,27,14,42,98,97,99,"yes","could not determine","Figure 4B","no"
"5288",6653,"10_3390_jcm14217766",1,1,197,"development","prognostic",0.63,0.55,0.71,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4","no"
"2525",3352,"10_1186_s13244-025-02043-0",3,2,408,"development","diagnostic",0.889,0.858,0.921,81.4,NA,NA,81.9,NA,NA,"yes","orange","Figure 3","no"
"4851",6078,"10_3389_fpsyt_2025_1608905",3,4,107,"development","diagnostic",0.856,0.786,0.926,88.37,NA,NA,70.31,NA,NA,"yes","could not determine","Figure 4","no"
"6360",7961,"10_1016_j_acra_2025_04_012",2,9,258,"development","diagnostic",0.821,0.813,0.83,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 4a","no"
"4065",5172,"10_3389_fmed_2025_1570928",5,12,229,"external validation","prognostic",0.8,0.744,0.857,82.4,NA,NA,56.5,NA,NA,"yes",NA,"could not determine","no"
"602",833,"10_1002_smll_202409212",3,5,62,"development","diagnostic",0.58,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5F","no"
"346",538,"10_1016_j_jns_2025_123587",3,1,970,"development","prognostic",0.67,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Fig 3","no"
"7641",9739,"10_1016_j_ijmedinf_2025_106018",3,28,814,"internal validation","prognostic",0.87,0.7,1.04,71,33,100,84,82,86,"yes","could not determine","Figure 4D","no"
"369",561,"10_1016_j_joca_2025_08_001",3,6,8205,"development","prognostic",0.87,NA,NA,38,NA,NA,96,NA,NA,"yes","could not determine","could not determine","no"
"3697",4776,"10_3389_fendo_2025_1593917",2,20,5584,"development","prognostic",0.8,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4513",5678,"10_3389_fnagi_2025_1597511",4,15,150,"development","diagnostic",0.947,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 9A","no"
"3161",4093,"10_2147_nss_s487596",2,1,8374,"development","diagnostic",0.588,0.576,0.6,NA,NA,NA,NA,NA,NA,"yes","pink/red","Figure 4","no"
"6823",8577,"10_1016_j_cgh_2025_02_030",1,1,325981,"development","prognostic",0.87,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2B","no"
"5056",6332,"10_3390_cancers17132257",1,3,538,"internal validation","diagnostic",0.822,0.787,0.853,86.8,81.2,91.3,62.6,57.3,67.7,"yes","green","Figure 3","no"
