"","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"713","10_1016_j_media_2025_103513",3,"2",382,"external validation","diagnostic",0.8655,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"714","10_1016_j_media_2025_103513",3,"3",545,"internal validation","diagnostic",0.8802,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"715","10_1016_j_media_2025_103513",3,"4",180,"external validation","diagnostic",0.8316,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"716","10_1016_j_lungcan_2025_108552",4,"2",84,"internal validation","diagnostic",0.968,0.921,1,81.5,66.8,96.1,94.7,88.9,100,"no",NA,NA,"no"
"717","10_1016_j_lungcan_2025_108552",4,"3",84,"internal validation","diagnostic",0.984,0.951,1,85.2,71.8,98.6,96.5,91.7,100,"no",NA,NA,"no"
"718","10_1016_j_lungcan_2025_108552",4,"4",84,"internal validation","diagnostic",0.744,0.624,0.864,77.8,62.1,93.5,82.5,72.6,92.3,"no",NA,NA,"no"
"719","10_1016_j_lungcan_2025_108552",4,"5",84,"internal validation","diagnostic",0.942,0.879,1,81.5,66.8,96.1,94.7,88.9,100,"no",NA,NA,"no"
"720","10_1016_j_lungcan_2025_108552",4,"6",93,"external validation","diagnostic",0.93,0.88,0.98,87.3,79.2,95.5,81.3,67.7,94.7,"no",NA,NA,"no"
"721","10_1016_j_lungcan_2025_108552",4,"7",93,"external validation","diagnostic",0.947,0.904,0.989,90.5,83.4,97.6,90.6,80.5,100,"no",NA,NA,"no"
"722","10_1016_j_maturitas_2025_108249",5,"1",14518,"development","diagnostic",0.53,NA,NA,57.8,NA,NA,48,NA,NA,"yes","red","Figure 2","no"
"723","10_1016_j_maturitas_2025_108249",5,"2",3629,"internal validation","diagnostic",0.52,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2","no"
"724","10_1016_j_maturitas_2025_108249",5,"3",14518,"development","diagnostic",0.63,NA,NA,65.9,NA,NA,51.1,NA,NA,"yes","blue","Figure 2","no"
"725","10_1016_j_maturitas_2025_108249",5,"4",3629,"internal validation","diagnostic",0.62,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2","no"
"726","10_1016_j_neurobiolaging_2025_12_005",1,"1",109,"development","diagnostic",0.94,0.89,0.99,90.2,NA,NA,91.7,NA,NA,"yes","could not determine","Figure 3A","no"
"727","10_1016_j_neurobiolaging_2025_12_005",1,"2",109,"development","diagnostic",0.93,0.89,0.98,75.4,NA,NA,97.9,NA,NA,"yes","could not determine","Figure 3A","no"
"728","10_1016_j_neurobiolaging_2025_12_005",1,"3",109,"development","diagnostic",0.84,0.76,0.91,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"729","10_1016_j_neurobiolaging_2025_12_005",1,"4",109,"development","diagnostic",0.74,0.64,0.83,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"730","10_1016_j_neurobiolaging_2025_12_005",1,"5",109,"development","diagnostic",0.95,0.91,0.99,95.8,NA,NA,85.2,NA,NA,"yes","could not determine","Figure 3B","no"
"731","10_1016_j_neurobiolaging_2025_12_005",1,"6",109,"development","diagnostic",0.95,0.92,0.99,87.5,NA,NA,93.4,NA,NA,"yes","could not determine","Figure 3B","no"
"732","10_1016_j_neurobiolaging_2025_12_005",1,"7",109,"development","diagnostic",0.88,0.82,0.94,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"733","10_1016_j_neurobiolaging_2025_12_005",1,"8",109,"development","diagnostic",0.73,0.63,0.82,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"734","10_1016_j_neurobiolaging_2025_12_005",1,"9",72,"development","diagnostic",0.98,0.96,1,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"735","10_1016_j_neurobiolaging_2025_12_005",1,"10",72,"development","diagnostic",0.96,0.92,1,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"736","10_1016_j_neurobiolaging_2025_12_005",1,"11",72,"development","diagnostic",0.91,0.82,0.94,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"737","10_1016_j_neurobiolaging_2025_12_005",1,"12",72,"development","diagnostic",0.73,0.63,0.82,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"738","10_1016_j_numecd_2025_103963",2,"1",6785,"development","prognostic",0.85,0.83,0.87,80,NA,NA,76,NA,NA,"yes","pink/red","Figure 2","no"
"739","10_1016_j_numecd_2025_103963",2,"2",6785,"development","prognostic",0.77,0.73,0.8,79,NA,NA,62,NA,NA,"yes","pink/red","Figure 2","no"
"740","10_1016_j_numecd_2025_103963",2,"3",6785,"development","prognostic",0.64,0.61,0.67,74,NA,NA,49,NA,NA,"yes","pink/red","Figure 2","no"
"741","10_1016_j_numecd_2025_103963",2,"4",5758,"development","prognostic",0.83,0.81,0.85,73,NA,NA,79,NA,NA,"yes","blue","Figure 2","no"
"742","10_1016_j_numecd_2025_103963",2,"5",5758,"development","prognostic",0.75,0.71,0.78,72,NA,NA,70,NA,NA,"yes","blue","Figure 2","no"
"743","10_1016_j_numecd_2025_103963",2,"6",5758,"development","prognostic",0.6,0.57,0.64,57,NA,NA,59,NA,NA,"yes","blue","Figure 2","no"
"744","10_1016_j_numecd_2025_103963",2,"7",6785,"development","prognostic",0.78,0.76,0.81,76,NA,NA,69,NA,NA,"yes","pink/red","Figure 1","no"
"745","10_1016_j_numecd_2025_103963",2,"8",6785,"development","prognostic",0.77,0.73,0.8,69,NA,NA,75,NA,NA,"yes","pink/red","Figure 1","no"
"746","10_1016_j_numecd_2025_103963",2,"9",6785,"development","prognostic",0.69,0.66,0.72,73,NA,NA,60,NA,NA,"yes","pink/red","Figure 1","no"
"747","10_1016_j_numecd_2025_103963",2,"10",5758,"development","prognostic",0.73,0.71,0.76,70,NA,NA,66,NA,NA,"yes","blue","Figure 1","no"
"748","10_1016_j_numecd_2025_103963",2,"11",5758,"development","prognostic",0.7,0.66,0.73,65,NA,NA,66,NA,NA,"yes","blue","Figure 1","no"
"749","10_1016_j_numecd_2025_103963",2,"12",5758,"development","prognostic",0.68,0.64,0.71,56,NA,NA,73,NA,NA,"yes","blue","Figure 1","no"
"750","10_1016_j_numecd_2025_103963",2,"13",6785,"development","prognostic",0.75,0.73,0.77,77,NA,NA,62,NA,NA,"yes","pink/red","Figure 1","no"
"751","10_1016_j_numecd_2025_103963",2,"14",6785,"development","prognostic",0.75,0.72,0.79,68,NA,NA,71,NA,NA,"yes","pink/red","Figure 1","no"
"752","10_1016_j_numecd_2025_103963",2,"15",6785,"development","prognostic",0.7,0.67,0.73,65,NA,NA,64,NA,NA,"yes","pink/red","Figure 1","no"
"753","10_1016_j_numecd_2025_103963",2,"16",5758,"development","prognostic",0.71,0.69,0.74,68,NA,NA,66,NA,NA,"yes","blue","Figure 1","no"
"754","10_1016_j_numecd_2025_103963",2,"17",5758,"development","prognostic",0.67,0.64,0.71,60,NA,NA,67,NA,NA,"yes","blue","Figure 1","no"
"755","10_1016_j_numecd_2025_103963",2,"18",5758,"development","prognostic",0.69,0.66,0.72,70,NA,NA,63,NA,NA,"yes","blue","Figure 1","no"
"756","10_1016_j_numecd_2025_103963",2,"19",6785,"development","prognostic",0.66,0.63,0.68,65,NA,NA,60,NA,NA,"yes","pink/red","Figure 1","no"
"757","10_1016_j_numecd_2025_103963",2,"20",6785,"development","prognostic",0.66,0.62,0.7,65,NA,NA,61,NA,NA,"yes","pink/red","Figure 1","no"
"758","10_1016_j_numecd_2025_103963",2,"21",6785,"development","prognostic",0.63,0.59,0.66,38,NA,NA,83,NA,NA,"yes","pink/red","Figure 1","no"
"759","10_1016_j_numecd_2025_103963",2,"22",5758,"development","prognostic",0.62,0.59,0.65,61,NA,NA,60,NA,NA,"yes","blue","Figure 1","no"
"760","10_1016_j_numecd_2025_103963",2,"23",5758,"development","prognostic",0.62,0.58,0.66,67,NA,NA,54,NA,NA,"yes","blue","Figure 1","no"
"761","10_1016_j_numecd_2025_103963",2,"24",5758,"development","prognostic",0.63,0.6,0.67,59,NA,NA,62,NA,NA,"yes","blue","Figure 1","no"
"762","10_1016_j_numecd_2025_103963",2,"25",6785,"development","prognostic",0.75,0.73,0.78,75,NA,NA,65,NA,NA,"yes","pink/red","Figure 2","no"
"763","10_1016_j_numecd_2025_103963",2,"26",6785,"development","prognostic",0.75,0.71,0.78,58,NA,NA,80,NA,NA,"yes","pink/red","Figure 2","no"
"764","10_1016_j_numecd_2025_103963",2,"27",6785,"development","prognostic",0.69,0.66,0.72,73,NA,NA,57,NA,NA,"yes","pink/red","Figure 2","no"
"765","10_1016_j_numecd_2025_103963",2,"28",5758,"development","prognostic",0.7,0.67,0.72,62,NA,NA,70,NA,NA,"yes","blue","Figure 2","no"
"766","10_1016_j_numecd_2025_103963",2,"29",5758,"development","prognostic",0.65,0.61,0.69,49,NA,NA,75,NA,NA,"yes","blue","Figure 2","no"
"767","10_1016_j_numecd_2025_103963",2,"30",5758,"development","prognostic",0.67,0.64,0.71,70,NA,NA,59,NA,NA,"yes","blue","Figure 2","no"
"768","10_1016_j_numecd_2025_103963",2,"31",6785,"development","prognostic",0.72,0.69,0.74,71,NA,NA,63,NA,NA,"yes","pink/red","Figure 2","no"
"769","10_1016_j_numecd_2025_103963",2,"32",6785,"development","prognostic",0.72,0.68,0.75,86,NA,NA,46,NA,NA,"yes","pink/red","Figure 2","no"
"770","10_1016_j_numecd_2025_103963",2,"33",6785,"development","prognostic",0.69,0.66,0.72,70,NA,NA,58,NA,NA,"yes","pink/red","Figure 2","no"
"771","10_1016_j_numecd_2025_103963",2,"34",5758,"development","prognostic",0.68,0.65,0.71,65,NA,NA,63,NA,NA,"yes","blue","Figure 2","no"
"772","10_1016_j_numecd_2025_103963",2,"35",5758,"development","prognostic",0.66,0.62,0.69,53,NA,NA,70,NA,NA,"yes","blue","Figure 2","no"
"773","10_1016_j_numecd_2025_103963",2,"36",5758,"development","prognostic",0.67,0.64,0.7,72,NA,NA,55,NA,NA,"yes","blue","Figure 2","no"
"774","10_1016_j_numecd_2025_104065",3,"1",24384,"development","diagnostic",0.62,0.61,0.63,50,NA,NA,72,NA,NA,"yes","blue","Figure 1A","no"
"775","10_1016_j_numecd_2025_104065",3,"2",24384,"development","diagnostic",0.75,0.74,0.76,66,NA,NA,71,NA,NA,"yes","red","Figure 1A","no"
"776","10_1016_j_numecd_2025_104065",3,"3",24384,"development","diagnostic",0.74,0.74,0.75,58,NA,NA,78,NA,NA,"yes","green","Figure 1A","no"
"777","10_1016_j_numecd_2025_104065",3,"4",6096,"internal validation","diagnostic",0.63,0.61,0.64,49,NA,NA,74,NA,NA,"yes","blue","Figure 1B","no"
"778","10_1016_j_numecd_2025_104065",3,"5",6096,"internal validation","diagnostic",0.75,0.74,0.77,65,NA,NA,73,NA,NA,"yes","red","Figure 1B","no"
"779","10_1016_j_numecd_2025_104065",3,"6",6096,"internal validation","diagnostic",0.74,0.73,0.76,61,NA,NA,76,NA,NA,"yes","green","Figure 1B","no"
"780","10_1016_j_modpat_2025_100904",4,"1",3387,"development","diagnostic",0.985,0.975,0.995,95,NA,NA,97.8,NA,NA,"yes","could not determine","Figure 5A","no"
"781","10_1016_j_msard_2025_106302",5,"1",88,"development","diagnostic",0.92,0.84,1,81,NA,NA,92,NA,NA,"yes","yellow/orange","Figure 4","no"
"782","10_1016_j_msard_2025_106302",5,"2",88,"development","diagnostic",0.83,NA,NA,87,NA,NA,71,NA,NA,"yes","green","Figure 4","no"
"783","10_1016_j_msard_2025_106302",5,"3",88,"development","diagnostic",0.96,NA,NA,87,NA,NA,90,NA,NA,"yes","blue","Figure 4","no"
"784","10_1016_j_oraloncology_2025_107281",1,"1",640,"development","prognostic",0.562,0.513,0.612,46.3,NA,NA,65.2,NA,NA,"yes","blue","Figure 1","no"
"785","10_1016_j_oraloncology_2025_107536",2,"1",15,"development","diagnostic",0.74,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red dashed","Figure 1A","no"
"786","10_1016_j_oraloncology_2025_107536",2,"2",10,"development","diagnostic",0.5,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red dotted","Figure 1A","no"
"787","10_1016_j_oraloncology_2025_107536",2,"3",25,"development","diagnostic",0.67,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red solid","Figure 1A","no"
"788","10_1016_j_oraloncology_2025_107536",2,"4",15,"development","diagnostic",0.44,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue dashed","Figure 1A","no"
"789","10_1016_j_oraloncology_2025_107536",2,"5",10,"development","diagnostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue dotted","Figure 1A","no"
"790","10_1016_j_oraloncology_2025_107536",2,"6",25,"development","diagnostic",0.48,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue solid","Figure 1A","no"
"791","10_1016_j_pacs_2025_100706",3,"1",40,"development","diagnostic",0.997,0.894,1,95,74,100,100,79,100,"yes","could not determine","Figure 7A","no"
"792","10_1016_j_pacs_2025_100706",3,"2",40,"development","diagnostic",0.778,0.6,0.904,89,67,99,64,35,87,"yes","could not determine","Figure 7A","no"
"793","10_1016_j_pacs_2025_100706",3,"3",40,"development","diagnostic",0.896,0.729,0.977,89,65,99,75,43,95,"yes","could not determine","Figure 6A","no"
"794","10_1016_j_pacs_2025_100706",3,"4",40,"development","diagnostic",0.939,0.784,0.994,94,73,100,91,59,100,"yes","could not determine","Figure 6A","no"
"795","10_1016_j_pacs_2025_100706",3,"5",40,"development","diagnostic",0.864,0.685,0.962,78,52,94,100,72,100,"yes","could not determine","Figure 6A","no"
"796","10_1016_j_pacs_2025_100706",3,"6",40,"development","diagnostic",0.886,0.713,0.973,78,52,94,100,72,100,"yes","could not determine","Figure 6A","no"
"797","10_1016_j_pacs_2025_100706",3,"7",40,"development","diagnostic",0.655,0.418,0.845,50,19,81,91,59,100,"yes","could not determine","Figure 6A","no"
"798","10_1016_j_pacs_2025_100706",3,"8",40,"development","diagnostic",0.982,0.868,1,100,74,100,95,78,100,"yes","could not determine","Figure 7B","no"
"799","10_1016_j_pacs_2025_100706",3,"9",40,"development","diagnostic",0.651,0.466,0.808,42,15,72,90,70,99,"yes","could not determine","Figure 7B","no"
"800","10_1016_j_pacs_2025_100706",3,"10",40,"development","diagnostic",0.805,0.62,0.926,100,69,100,55,32,77,"yes","could not determine","Figure 6B","no"
"801","10_1016_j_pacs_2025_100706",3,"11",40,"development","diagnostic",0.911,0.745,0.984,100,69,100,79,54,94,"yes","could not determine","Figure 6B","no"
"802","10_1016_j_pacs_2025_100706",3,"12",40,"development","diagnostic",0.821,0.635,0.938,90,56,100,74,49,91,"yes","could not determine","Figure 6B","no"
"803","10_1016_j_pacs_2025_100706",3,"13",40,"development","diagnostic",0.816,0.629,0.934,100,69,100,68,43,87,"yes","could not determine","Figure 6B","no"
"804","10_1016_j_pacs_2025_100706",3,"14",40,"development","diagnostic",0.8,0.57,0.94,100,54,100,53,27,79,"yes","could not determine","Figure 6B","no"
"805","10_1016_j_numecd_2025_104268",4,"1",4314,"development","prognostic",0.7,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"806","10_1016_j_numecd_2025_104268",4,"2",4314,"development","prognostic",0.711,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"807","10_1016_j_oraloncology_2025_107206",5,"1",175,"development","diagnostic",0.726,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2A","no"
"808","10_1016_j_oraloncology_2025_107206",5,"2",175,"development","diagnostic",0.77,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2A","no"
"809","10_1016_j_oraloncology_2025_107206",5,"3",175,"development","diagnostic",0.635,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2A","no"
"810","10_1016_j_oraloncology_2025_107206",5,"4",175,"development","diagnostic",0.816,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yellow/orange","Figure 2A","no"
"811","10_1016_j_oraloncology_2025_107206",5,"5",75,"internal validation","diagnostic",0.782,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2B","no"
"812","10_1016_j_oraloncology_2025_107206",5,"6",75,"internal validation","diagnostic",0.653,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2B","no"
"813","10_1016_j_oraloncology_2025_107206",5,"7",75,"internal validation","diagnostic",0.534,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2B","no"
"814","10_1016_j_oraloncology_2025_107206",5,"8",75,"internal validation","diagnostic",0.718,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yellow/orange","Figure 2B","no"
"815","10_1016_j_oraloncology_2025_107206",5,"9",250,"development","diagnostic",0.741,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"816","10_1016_j_oraloncology_2025_107206",5,"10",250,"development","diagnostic",0.543,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"817","10_1016_j_oraloncology_2025_107206",5,"11",250,"development","diagnostic",0.595,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"818","10_1002_ohn_70075",2,"1",1777,"development","diagnostic",0.978,0.974,0.982,88.6,NA,NA,NA,NA,NA,"yes","blue","Figure 3A","no"
"819","10_1002_ohn_70075",2,"2",112,"external validation","diagnostic",0.965,0.955,0.975,87.1,NA,NA,NA,NA,NA,"yes","blue","Figure 3B","no"
"820","10_1002_ohn_70075",2,"3",104,"external validation","diagnostic",0.957,0.948,0.967,82.3,NA,NA,NA,NA,NA,"yes","blue","Figure 3C","no"
"821","10_1002_ohn_70075",2,"4",475,"external validation","diagnostic",0.938,0.932,0.944,84.3,NA,NA,NA,NA,NA,"yes","blue","Figure 3D","no"
"822","10_1002_ohn_70075",2,"5",117,"external validation","diagnostic",0.945,0.939,0.951,90.6,NA,NA,NA,NA,NA,"yes","blue","Figure 3E","no"
"823","10_1002_ohn_70075",2,"6",1777,"development","diagnostic",0.972,0.964,0.981,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 4A","no"
"824","10_1002_ohn_70075",2,"7",112,"external validation","diagnostic",0.948,0.932,0.964,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 4B","no"
"825","10_1002_ohn_70075",2,"8",104,"external validation","diagnostic",0.872,0.817,0.928,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 4C","no"
"826","10_1002_ohn_70075",2,"9",475,"external validation","diagnostic",0.909,0.889,0.93,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 4D","no"
"827","10_1002_ohn_70075",2,"10",117,"external validation","diagnostic",0.881,0.836,0.927,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 4E","no"
"828","10_1002_ohn_70075",2,"11",200,"internal validation","diagnostic",0.944,NA,NA,89.3,NA,NA,NA,NA,NA,"yes","red","Figure 7A","no"
"829","10_1002_smll_202409212",3,"1",32,"development","diagnostic",0.96,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5C","no"
"830","10_1002_smll_202409212",3,"2",62,"development","diagnostic",0.76,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5F","no"
"831","10_1002_smll_202409212",3,"3",62,"development","diagnostic",0.78,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5F","no"
"832","10_1002_smll_202409212",3,"4",62,"development","diagnostic",0.59,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5F","no"
"833","10_1002_smll_202409212",3,"5",62,"development","diagnostic",0.58,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5F","no"
"834","10_1002_smll_202409212",3,"6",62,"development","diagnostic",0.86,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5F","no"
"835","10_1002_smll_202409212",3,"10",62,"development","diagnostic",0.91,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5H","no"
"836","10_1002_smll_202409212",3,"11",62,"development","diagnostic",0.95,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5H","no"
"837","10_1002_smll_202409212",3,"12",62,"development","diagnostic",0.93,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5H","no"
"838","10_1002_smll_202409212",3,"13",62,"development","diagnostic",0.96,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5H","no"
"839","10_1002_mp_17810",4,"1",19180,"development","diagnostic",0.976,NA,NA,91.9,NA,NA,NA,NA,NA,"yes","black","Figure 5A","no"
"840","10_1002_mp_17810",4,"2",19180,"development","diagnostic",0.889,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 5A","no"
"841","10_1002_mp_17810",4,"3",19180,"development","diagnostic",0.911,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 5A","no"
"842","10_1002_mp_17810",4,"4",19180,"development","diagnostic",0.925,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 5A","no"
"843","10_1002_mp_17810",4,"5",19180,"development","diagnostic",0.927,NA,NA,NA,NA,NA,NA,NA,NA,"yes","cyan","Figure 5A","no"
"844","10_1002_mp_17810",4,"6",19180,"development","diagnostic",0.904,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 5A","no"
"845","10_1002_mp_17810",4,"7",9835,"development","diagnostic",0.773,NA,NA,69.2,NA,NA,NA,NA,NA,"yes","black","Figure 7A","no"
"846","10_1002_mp_17810",4,"8",9835,"development","diagnostic",0.589,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 7A","no"
"847","10_1002_mp_17810",4,"9",9835,"development","diagnostic",0.52,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 7A","no"
"848","10_1002_mp_17810",4,"10",9835,"development","diagnostic",0.516,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 7A","no"
"849","10_1002_mp_17810",4,"11",9835,"development","diagnostic",0.553,NA,NA,NA,NA,NA,NA,NA,NA,"yes","cyan","Figure 7A","no"
"850","10_1002_mp_17810",4,"12",9835,"development","diagnostic",0.549,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 7A","no"
"851","10_1002_mp_17882",5,"1",233,"development","diagnostic",0.826,0.774,0.878,67.6,NA,NA,82.8,NA,NA,"yes",NA,"Figure 3A","no"
"852","10_1002_mp_17882",5,"2",101,"internal validation","diagnostic",0.778,0.687,0.869,60.4,NA,NA,84.9,NA,NA,"yes",NA,"Figure 3A","no"
"853","10_1002_mp_17882",5,"3",233,"development","diagnostic",0.866,0.82,0.911,80.2,NA,NA,81.1,NA,NA,"yes",NA,"Figure 3B","no"
"854","10_1002_mp_17882",5,"4",101,"internal validation","diagnostic",0.813,0.731,0.895,70.8,NA,NA,77.4,NA,NA,"yes",NA,"Figure 3B","no"
"855","10_1002_mp_17882",5,"5",233,"development","diagnostic",0.891,0.85,0.933,75.7,NA,NA,89.3,NA,NA,"yes",NA,"Figure 3C","no"
"856","10_1002_mp_17882",5,"6",101,"internal validation","diagnostic",0.841,0.767,0.915,89.6,NA,NA,60.4,NA,NA,"yes",NA,"Figure 3C","no"
"857","10_1002_mp_17882",5,"7",233,"development","diagnostic",0.876,0.833,0.918,76.6,NA,NA,80.3,NA,NA,"yes",NA,"Figure 3D","no"
"858","10_1002_mp_17882",5,"8",101,"internal validation","diagnostic",0.812,0.728,0.895,85.4,NA,NA,64.2,NA,NA,"yes",NA,"Figure 3D","no"
"859","10_1002_mp_17882",5,"9",233,"development","diagnostic",0.862,0.816,0.908,84.7,NA,NA,71.3,NA,NA,"yes",NA,"Figure 3E","no"
"860","10_1002_mp_17882",5,"10",101,"internal validation","diagnostic",0.824,0.74,0.907,68.7,NA,NA,86.8,NA,NA,"yes",NA,"Figure 3E","no"
"861","10_1002_mp_17882",5,"11",233,"development","diagnostic",0.868,0.82,0.915,83.8,NA,NA,80.3,NA,NA,"yes",NA,"Figure 4A","no"
"862","10_1002_mp_17882",5,"12",101,"internal validation","diagnostic",0.765,0.671,0.858,91.7,NA,NA,58.5,NA,NA,"yes",NA,"Figure 4A","no"
"863","10_1002_mp_17882",5,"13",233,"development","diagnostic",0.887,0.846,0.929,83.8,NA,NA,82,NA,NA,"yes",NA,"Figure 4B","no"
"864","10_1002_mp_17882",5,"14",101,"internal validation","diagnostic",0.828,0.75,0.906,81.2,NA,NA,67.9,NA,NA,"yes",NA,"Figure 4B","no"
"865","10_1002_mp_17882",5,"15",233,"development","diagnostic",0.961,0.94,0.982,88.3,NA,NA,91,NA,NA,"yes",NA,"Figure 4C","no"
"866","10_1002_mp_17882",5,"16",101,"internal validation","diagnostic",0.928,0.881,0.976,89.6,NA,NA,79.2,NA,NA,"yes",NA,"Figure 4C","no"
"867","10_1002_mp_17882",5,"17",233,"development","diagnostic",0.894,0.851,0.936,83.8,NA,NA,86.1,NA,NA,"yes",NA,"Figure 4D","no"
"868","10_1002_mp_17882",5,"18",101,"internal validation","diagnostic",0.792,0.7,0.883,68.7,NA,NA,84.9,NA,NA,"yes",NA,"Figure 4D","no"
"869","10_1002_mp_17882",5,"19",233,"development","diagnostic",0.857,0.809,0.905,70.3,NA,NA,87.7,NA,NA,"yes",NA,"Figure 4E","no"
"870","10_1002_mp_17882",5,"20",101,"internal validation","diagnostic",0.748,0.652,0.844,58.3,NA,NA,81.1,NA,NA,"yes",NA,"Figure 4E","no"
"871","10_1016_j_pan_2025_09_006",1,"2",84,"development","prognostic",0.87,0.71,0.98,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4I","no"
"872","10_1016_j_pan_2025_09_006",1,"3",67,"internal validation","prognostic",0.74,0.55,0.92,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4L","no"
"873","10_1016_j_pan_2025_09_006",1,"4",84,"development","prognostic",0.78,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4J","no"
"874","10_1016_j_pan_2025_09_006",1,"5",67,"internal validation","prognostic",0.74,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4M","no"
"875","10_1016_j_pan_2025_09_006",1,"6",84,"development","prognostic",0.73,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4K","no"
"876","10_1016_j_pan_2025_09_006",1,"7",67,"internal validation","prognostic",0.78,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4N","no"
"877","10_1016_j_parkreldis_2025_107328",2,"1",123,"development","prognostic",0.68,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1A","no"
"878","10_1016_j_parkreldis_2025_107328",2,"2",123,"development","prognostic",0.67,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1B","no"
"879","10_1016_j_parkreldis_2025_107328",2,"3",123,"external validation","prognostic",0.69,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"880","10_1016_j_parkreldis_2025_107328",2,"4",123,"external validation","prognostic",0.66,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"881","10_1016_j_parkreldis_2025_107989",3,"1",117,"development","diagnostic",0.755,0.7524,0.7575,61,60.82,61.64,65.5,64.95,65.72,"yes","could not determine","Figure 2B","no"
"882","10_1016_j_parkreldis_2025_107989",3,"2",117,"development","diagnostic",0.856,0.855,0.8592,78,77.63,78.24,79.3,78.95,79.58,"yes","could not determine","Figure 2B","no"
